label,window,mask,risk_pct,ref_cap,boost,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_lot,pb_n,sca_net,sca_lot,sca_n,elapsed,run_id
PB_r0.68,IS,1,0.68,500000.0,True,FAILED,,,,,,,,,,,,9.6,gsz_is_PB_r0.68_20260905022436_a1c5
PB_r1.0,IS,1,1.0,500000.0,True,FAILED,,,,,,,,,,,,24.6,gsz_is_PB_r1.0_20260905022445_0e21
PB_r1.5,IS,1,1.5,500000.0,True,FAILED,,,,,,,,,,,,24.6,gsz_is_PB_r1.5_20260905022510_8dc6
BASELINE,IS,0,0.0,0.0,True,OK,411160.0,2.2312,3.8264,1.3705,301,217191,0.01,59,193969,0.0119,242,103.9,gsz_is_BASELINE_20260905022411_d43a
PB_r2.0,IS,1,2.0,500000.0,True,FAILED,,,,,,,,,,,,24.6,gsz_is_PB_r2.0_20260905022534_e695
PB_r3.0,IS,1,3.0,500000.0,True,FAILED,,,,,,,,,,,,9.4,gsz_is_PB_r3.0_20260905022554_d09c
PB_r4.0,IS,1,4.0,500000.0,True,FAILED,,,,,,,,,,,,24.5,gsz_is_PB_r4.0_20260905022559_b987
PB_r5.0,IS,1,5.0,500000.0,True,FAILED,,,,,,,,,,,,24.5,gsz_is_PB_r5.0_20260905022604_9d3b
SCA_r0.68,IS,2,0.68,500000.0,True,FAILED,,,,,,,,,,,,24.5,gsz_is_SCA_r0.68_20260905022623_434e
SCA_r1.0,IS,2,1.0,500000.0,True,FAILED,,,,,,,,,,,,24.5,gsz_is_SCA_r1.0_20260905022628_88d5
SCA_r2.0,IS,2,2.0,500000.0,True,FAILED,,,,,,,,,,,,24.5,gsz_is_SCA_r2.0_20260905022648_f2ec
SCA_r3.0,IS,2,3.0,500000.0,True,FAILED,,,,,,,,,,,,24.5,gsz_is_SCA_r3.0_20260905022653_502c
SCA_r5.0,IS,2,5.0,500000.0,True,FAILED,,,,,,,,,,,,24.4,gsz_is_SCA_r5.0_20260905022712_c05f
BOTH_r1.0,IS,3,1.0,500000.0,True,FAILED,,,,,,,,,,,,24.5,gsz_is_BOTH_r1.0_20260905022717_10a9
BOTH_r2.0,IS,3,2.0,500000.0,True,FAILED,,,,,,,,,,,,24.4,gsz_is_BOTH_r2.0_20260905022737_d155
BOTH_r3.0,IS,3,3.0,500000.0,True,FAILED,,,,,,,,,,,,24.5,gsz_is_BOTH_r3.0_20260905022742_d999
