proposal_id,family,description,IS_net,IS_nm,IS_dd,IS_dm,IS_eff,IS_sca2,IS_canni,IS_netcontrib,IS_n2,IS_fixed_dd_mult,IS_dd_advantage,OOS_net,OOS_nm,OOS_dd,OOS_dm,OOS_eff,OOS_sca2,OOS_canni,OOS_netcontrib,OOS_n2,OOS_fixed_dd_mult,OOS_dd_advantage,worst_eff,worst_adv
S2B013,W1_window,第2レンジ13-14時（締切20h・決済23h）,449838.0,1.185062830949182,3.6709,0.9052327875320576,1.3091249535713647,73778.0,-3530.0,70248.0,30,1.1281228023778136,0.222890014845756,100528.0,1.3123245825881493,2.2391,0.9947576524945577,1.3192404997309926,27236.0,-3311.0,23925.0,25,1.2128561579169037,0.218098505422346,1.3091249535713647,0.218098505422346
S2B026,W2_trade_end,第2レンジ13-15時・締切18h（決済23h）,501982.0,1.3224320977897206,4.2054,1.0370388636811994,1.2752001338652388,125922.0,-3530.0,122392.0,78,1.2194811764875837,0.18244231280638434,103227.0,1.347558189627038,2.1427,0.9519303389755208,1.415605884646241,29935.0,-3311.0,26624.0,82,1.2358869450531174,0.28395660607759654,1.2752001338652388,0.18244231280638434
S2B027,W2_trade_end,第2レンジ13-15時・締切19h（決済23h）,504971.0,1.3303063832029294,4.22,1.0406391793253107,1.2783550817925402,128911.0,-3530.0,125381.0,85,1.2246322417405433,0.1839930624152326,95023.0,1.2404605563750768,2.2274,0.9895597316628902,1.2535479331708095,21731.0,-3311.0,18420.0,88,1.1653165143257755,0.1757567826628853,1.2535479331708095,0.1757567826628853
S2B014,W1_window,第2レンジ13-15時（締切20h・決済23h）,502827.0,1.3246581838299218,4.3512,1.0729927007299271,1.2345453822088386,126767.0,-3530.0,123237.0,91,1.2209382990208113,0.14794559829088416,97336.0,1.2706551962716865,2.2237,0.9879159447332178,1.2861976801222914,24044.0,-3311.0,20733.0,94,1.1853856867830277,0.19746974204980994,1.2345453822088386,0.14794559829088416
S2B028,W2_trade_end,第2レンジ13-15時・締切21h（決済23h）,502827.0,1.3246581838299218,4.3512,1.0729927007299271,1.2345453822088386,126767.0,-3530.0,123237.0,91,1.2209382990208113,0.14794559829088416,97386.0,1.2713079122227589,2.2362,0.9934692789550846,1.2796650476800857,24094.0,-3311.0,20783.0,99,1.1858179837562592,0.1923487048011746,1.2345453822088386,0.14794559829088416
S2B029,W2_trade_end,第2レンジ13-15時・締切22h（決済23h）,501914.0,1.3222529571379646,4.3583,1.0747435391595974,1.230296260419401,125854.0,-3530.0,122324.0,92,1.2193638860115714,0.144620346851974,95506.0,1.2467657924624362,2.2436,0.9967568528144296,1.250822393587849,22214.0,-3311.0,18903.0,102,1.1695189505771848,0.1727620977627552,1.230296260419401,0.144620346851974
S2B040,W4_range_filter,レンジ幅0.5〜0.8ATR（中心0.40〜1.00）,485171.0,1.2781448404857874,4.3331,1.0685292957190766,1.1961720147557096,109111.0,-3530.0,105581.0,31,1.1903422551069556,0.12181295938787895,98434.0,1.2849888385572366,2.1217,0.9426007374827847,1.363237675782855,25142.0,-3311.0,21831.0,38,1.1948641811429996,0.2522634436602149,1.1961720147557096,0.12181295938787895
S2B041,W4_range_filter,レンジ幅0.5〜1.0ATR（中心0.40〜1.00）,485022.0,1.277752311704734,4.3603,1.0752367330834482,1.1883451080028984,108962.0,-3530.0,105432.0,33,1.1900826931885928,0.11484596010514458,105882.0,1.3822174066289832,2.1217,0.9426007374827847,1.4663869352788699,32590.0,-3311.0,29279.0,40,1.2583724862799004,0.31577174879711567,1.1883451080028984,0.11484596010514458
S2B047,W5_rr,第2セッションのRRを1.5に（中心1.7）,483499.0,1.273740087989673,4.3565,1.0742996646281315,1.1856469195032073,107439.0,-3530.0,103909.0,91,1.1874282592949683,0.11312859466683678,92655.0,1.2095479289322872,2.2104,0.9820071971211515,1.2317098413109326,19363.0,-3311.0,16052.0,94,1.1446227891240677,0.1626155920029162,1.1856469195032073,0.11312859466683678
S2B024,W2_trade_end,第2レンジ13-15時・締切16h（決済23h）,429036.0,1.1302615980399906,4.0563,1.000271256658118,1.1299550901984,52976.0,-3530.0,49446.0,38,1.0908299921025726,0.09055873544445459,102718.0,1.340913541245121,2.0883,0.9277622284419564,1.445320255704948,29426.0,-3311.0,26115.0,47,1.2315570972644232,0.30379486882246676,1.1299550901984,0.09055873544445459
