proposal_id,quantile,threshold,high_n,low_n,high_mean,low_mean,t,p,pass_abs_t_ge_2
C02-01,0.5,0.0,1810,2036,360.7243093922652,920.237721021611,-0.7027039975244039,0.4822929783120598,False
C02-02,0.55,1.0,730,3116,1042.4232876712329,566.6065468549423,0.4770521624363081,0.633414393179746,False
C02-03,0.6000000000000001,1.0,730,3116,1042.4232876712329,566.6065468549423,0.4770521624363081,0.633414393179746,False
C02-04,0.6500000000000001,1.0,730,3116,1042.4232876712329,566.6065468549423,0.4770521624363081,0.633414393179746,False
C02-05,0.7000000000000002,1.0,730,3116,1042.4232876712329,566.6065468549423,0.4770521624363081,0.633414393179746,False
C02-06,0.7500000000000002,1.0,730,3116,1042.4232876712329,566.6065468549423,0.4770521624363081,0.633414393179746,False
C02-07,0.8000000000000003,1.0,730,3116,1042.4232876712329,566.6065468549423,0.4770521624363081,0.633414393179746,False
C02-08,0.8500000000000003,2.0,278,3568,2404.546762589928,520.7542040358744,0.8016713271899762,0.4233901049416607,False
C02-09,0.9000000000000004,2.0,278,3568,2404.546762589928,520.7542040358744,0.8016713271899762,0.4233901049416607,False
C02-10,0.9500000000000004,3.0,105,3741,208.8761904761905,669.495589414595,-1.0084324347833689,0.31334272722346,False
