time,profit,magic,entry,position_id,type,volume,price,sl
1466504100,0.00,20261001,0,2,0,0.01,153.81400000,151.76600000
1466505000,0.00,20261000,0,3,0,0.01,104.57300000,103.57500000
1466505900,0.00,20261002,0,4,1,0.01,1281.75000000,1294.09000000
1466539200,1273.00,20261002,1,4,0,0.01,1269.58000000,1294.09000000
1466546400,183.00,20261000,1,3,1,0.01,104.75600000,103.57500000
1466546400,-188.00,20261001,1,2,1,0.01,153.62600000,151.76600000
1466625600,0.00,20260605,0,8,0,0.01,1.13038000,1.12788000
1466689459,1075.00,20260605,1,8,1,0.01,1.14088000,1.12788000
1466744400,0.00,20260605,0,10,1,0.01,1.12611000,1.12861000
1466745940,1100.00,20260605,1,10,0,0.01,1.11561000,1.12861000
1466755200,0.00,20260774,0,12,1,0.01,1.33756000,1.34256000
1466756103,-530.00,20260774,1,12,0,0.01,1.34262000,1.34256000
1467111600,0.00,20261001,0,14,0,0.01,136.40600000,134.26400000
1467117000,0.00,20261002,0,15,1,0.01,1311.88000000,1326.07000000
1467144000,-305.00,20261002,1,15,0,0.01,1314.79000000,1326.07000000
1467151200,723.00,20261001,1,14,1,0.01,137.12900000,134.26400000
1467369900,0.00,20261000,0,18,1,0.01,102.47100000,103.38700000
1467410400,-104.00,20261000,1,18,0,0.01,102.57500000,103.38700000
1467715500,0.00,20261000,0,20,1,0.01,101.76600000,102.58600000
1467720000,0.00,20260622,0,21,1,0.03,101.69900000,102.21600000
1467756000,199.00,20261000,1,20,0,0.01,101.56700000,102.58600000
1467781538,3019.00,20260622,1,21,0,0.03,100.66300000,102.21600000
1467810900,0.00,20261002,0,24,0,0.01,1373.70000000,1355.07000000
1467835200,-908.00,20261002,1,24,1,0.01,1364.68000000,1355.07000000
1467871200,0.00,20260605,0,26,1,0.01,1.10857000,1.11107000
1467874800,-113.00,20260605,1,26,0,0.01,1.10969000,1.11107000
1467874800,0.00,20260605,0,28,0,0.01,1.10969000,1.10719000
1467887501,-253.00,20260605,1,28,1,0.01,1.10718000,1.10719000
1468228500,0.00,20261000,0,30,0,0.01,101.71500000,100.53000000
1468233000,0.00,20261002,0,31,1,0.01,1360.55000000,1374.99000000
1468267200,103.00,20261002,1,31,0,0.01,1359.55000000,1374.99000000
1468274400,1040.00,20261000,1,30,1,0.01,102.75500000,100.53000000
1468314900,0.00,20261001,0,34,0,0.01,135.16000000,132.98100000
1468316700,0.00,20261000,0,35,0,0.01,103.47700000,102.44200000
1468332000,0.00,20260605,0,36,0,0.01,1.10933000,1.10683000
1468346252,-271.00,20260605,1,36,1,0.01,1.10674000,1.10683000
1468346400,0.00,20260605,0,38,1,0.01,1.10711000,1.10961000
1468360800,1303.00,20261000,1,35,1,0.01,104.78000000,102.44200000
1468360800,3876.00,20261001,1,34,1,0.01,139.03600000,132.98100000
1468404000,0.00,20261002,0,41,0,0.01,1342.21000000,1327.43000000
1468430197,-262.00,20260605,1,38,0,0.01,1.10962000,1.10961000
1468440000,41.00,20261002,1,41,1,0.01,1342.60000000,1327.43000000
1468487700,0.00,20261001,0,44,0,0.01,139.73500000,136.37100000
1468488600,0.00,20261000,0,45,0,0.01,105.69800000,103.96800000
1468494900,0.00,20261002,0,46,1,0.01,1329.60000000,1347.00000000
1468526400,-391.00,20261002,1,46,0,0.01,1333.31000000,1347.00000000
1468533600,-250.00,20261000,1,45,1,0.01,105.44800000,103.96800000
1468533600,824.00,20261001,1,44,1,0.01,140.55900000,136.37100000
1468602000,0.00,20260605,0,50,1,0.01,1.10806000,1.11056000
1468911600,19.00,20260605,1,50,0,0.01,1.10792000,1.11056000
1468911600,0.00,20260605,0,52,0,0.01,1.10792000,1.10542000
1468925199,-264.00,20260605,1,52,1,0.01,1.10542000,1.10542000
1469009700,0.00,20261002,0,54,1,0.01,1326.38000000,1337.72000000
1469013300,0.00,20261000,0,55,0,0.01,106.44200000,105.82100000
1469014200,0.00,20261001,0,56,0,0.06,139.42500000,138.32400000
1469044800,728.00,20261002,1,54,0,0.01,1319.56000000,1337.72000000
1469052000,408.00,20261000,1,55,1,0.01,106.85000000,105.82100000
1469052000,6324.00,20261001,1,56,1,0.06,140.47900000,138.32400000
1469100600,0.00,20261001,0,60,1,0.06,140.97900000,142.38200000
1469101500,0.00,20261000,0,61,1,0.02,105.92700000,107.48400000
1469113200,0.00,20260605,0,62,1,0.01,1.10113000,1.10363000
1469115120,-265.00,20260605,1,62,0,0.01,1.10363000,1.10363000
1469138400,72.00,20261000,1,61,0,0.02,105.89100000,107.48400000
1469138400,6924.00,20261001,1,60,0,0.06,139.82500000,142.38200000
1469462400,0.00,20260610,0,66,0,0.01,106.15300000,105.65300000
1469499576,-499.00,20260610,1,66,1,0.01,105.65200000,105.65300000
1469525400,0.00,20261001,0,68,1,0.01,136.54600000,139.09800000
1469570400,-838.00,20261001,1,68,0,0.01,137.38400000,139.09800000
1469714400,0.00,20260605,0,70,0,0.01,1.10843000,1.10593000
1469779200,0.00,20260610,0,71,1,0.01,103.28100000,103.78100000
1469790688,-500.00,20260610,1,71,0,0.01,103.78100000,103.78100000
1469793600,0.00,20260610,0,73,1,0.01,103.75000000,104.25000000
1469808280,1100.00,20260610,1,73,0,0.01,102.65000000,104.25000000
1469815283,1072.00,20260605,1,70,1,0.01,1.11895000,1.10593000
1470132900,0.00,20261002,0,76,0,0.02,1355.89000000,1346.99000000
1470134700,0.00,20261000,0,77,1,0.01,101.85400000,102.82500000
1470168000,1757.00,20261002,1,76,1,0.02,1364.61000000,1346.99000000
1470175200,936.00,20261000,1,77,0,0.01,100.91800000,102.82500000
1470320100,0.00,20261002,0,80,0,0.02,1361.51000000,1349.72000000
1470340800,198.00,20261002,1,80,1,0.02,1362.49000000,1349.72000000
1470384000,0.00,20260640,0,82,0,0.01,1362.77000000,1352.72000000
1470411020,-1018.00,20260640,1,82,1,0.01,1352.68000000,1352.72000000
1470736800,0.00,20261001,0,84,1,0.01,132.79600000,133.68400000
1470758400,0.00,20260627,0,85,1,0.01,132.51300000,133.58000000
1470780000,348.00,20261001,1,84,0,0.01,132.44800000,133.68400000
1470787200,0.00,20260605,0,87,1,0.01,1.11161000,1.11411000
1470799519,-252.00,20260605,1,87,0,0.01,1.11411000,1.11411000
1470801600,0.00,20260605,0,89,0,0.01,1.11391000,1.11141000
1470913200,0.00,20261001,0,90,1,0.06,131.22900000,132.01800000
1470948757,-4734.00,20261001,1,90,0,0.06,132.01800000,132.01800000
1470949200,-23.00,20260605,1,89,1,0.01,1.11392000,1.11141000
1470949200,0.00,20260605,0,93,1,0.01,1.11392000,1.11642000
1471015319,-251.00,20260605,1,93,0,0.01,1.11642000,1.11642000
1471017600,0.00,20260605,0,95,0,0.01,1.12099000,1.11849000
1471020365,-255.00,20260605,1,95,1,0.01,1.11846000,1.11849000
1471257900,0.00,20261001,0,97,1,0.06,130.50700000,131.19900000
1471291200,0.00,20260610,0,98,1,0.01,101.21800000,101.71800000
1471298400,828.00,20261001,1,97,0,0.06,130.36900000,131.19900000
1471338900,0.00,20261001,0,100,1,0.01,129.43100000,130.47400000
1471339800,0.00,20261002,0,101,0,0.01,1349.76000000,1338.81000000
1471351621,1070.00,20260610,1,98,0,0.01,100.11800000,101.71800000
1471367186,-1043.00,20261001,1,100,0,0.01,130.47400000,130.47400000
1471377600,-145.00,20261002,1,101,1,0.01,1348.31000000,1338.81000000
1471520700,0.00,20261001,0,105,0,0.06,131.65200000,130.00400000
1471522500,0.00,20261002,0,106,1,0.02,1346.37000000,1355.92000000
1471550400,-963.00,20261002,1,106,0,0.02,1351.18000000,1355.92000000
1471557600,-1650.00,20261001,1,105,1,0.06,131.37700000,130.00400000
1471601700,0.00,20261001,0,109,1,0.06,131.34400000,132.00600000
1471644000,1506.00,20261001,1,109,0,0.06,131.09300000,132.00600000
1471863600,0.00,20261001,0,111,0,0.01,131.85000000,131.12700000
1471896000,0.00,20260774,0,112,0,0.01,1.31316000,1.30816000
1471903200,-156.00,20261001,1,111,1,0.01,131.69400000,131.12700000
1472046223,1093.00,20260774,1,112,1,0.01,1.32416000,1.30816000
1472117400,0.00,20261001,0,115,1,0.01,132.68800000,133.27500000
1472162400,224.00,20261001,1,115,0,0.01,132.46400000,133.27500000
1472244820,-1843.00,20260627,1,85,0,0.01,133.58000000,133.58000000
1472529600,0.00,20260774,0,118,1,0.01,1.31070000,1.31570000
1472552100,0.00,20261001,0,119,0,0.06,133.81400000,133.32300000
1472553000,0.00,20261000,0,120,0,0.01,102.40600000,101.74300000
1472576595,5916.00,20261001,1,119,1,0.06,134.80000000,133.32300000
1472594400,565.00,20261000,1,120,1,0.01,102.97100000,101.74300000
1472635800,0.00,20261001,0,123,0,0.01,135.14800000,134.56400000
1472642441,-519.00,20260774,1,118,0,0.01,1.31570000,1.31570000
1472680800,586.00,20261001,1,123,1,0.01,135.73400000,134.56400000
1472726700,0.00,20261001,0,126,0,0.06,135.96400000,135.38900000
1472727600,0.00,20261000,0,127,0,0.02,103.58000000,103.05400000
1472729400,0.00,20261002,0,128,1,0.02,1304.85000000,1311.55000000
1472729558,6900.00,20261001,1,126,1,0.06,137.11400000,135.38900000
1472749235,-1391.00,20261002,1,128,0,0.02,1311.55000000,1311.55000000
1472767200,-544.00,20261000,1,127,1,0.02,103.30800000,103.05400000
1472809500,0.00,20261000,0,132,0,0.01,103.61200000,103.12500000
1472809500,0.00,20261001,0,133,0,0.01,137.55400000,136.87100000
1472830231,-489.00,20261000,1,132,1,0.01,103.12300000,103.12500000
1472832000,0.00,20260774,0,135,0,0.01,1.33310000,1.32810000
1472853600,631.00,20261001,1,133,1,0.01,138.18500000,136.87100000
1473070500,0.00,20261001,0,137,1,0.01,137.43800000,138.48600000
1473112800,-53.00,20261001,1,137,0,0.01,137.49100000,138.48600000
1473185094,1127.00,20260774,1,135,1,0.01,1.34410000,1.32810000
1473328800,0.00,20260605,0,140,0,0.01,1.12599000,1.12349000
1473336900,0.00,20261002,0,141,0,0.01,1349.09000000,1341.71000000
1473350957,-762.00,20261002,1,141,1,0.01,1341.70000000,1341.71000000
1473436788,-271.00,20260605,1,140,1,0.01,1.12344000,1.12349000
1473679800,0.00,20261000,0,144,1,0.01,102.16000000,102.65900000
1473679800,0.00,20261001,0,145,1,0.06,135.59900000,136.21800000
1473717600,313.00,20261000,1,144,0,0.01,101.84700000,102.65900000
1473717600,-1248.00,20261001,1,145,0,0.06,135.80700000,136.21800000
1473845400,0.00,20261001,0,148,0,0.01,136.41700000,135.07400000
1473857100,0.00,20261002,0,149,0,0.01,1323.98000000,1313.26000000
1473871947,-1344.00,20261001,1,148,1,0.01,135.07300000,135.07400000
1473883200,-154.00,20261002,1,149,1,0.01,1322.47000000,1313.26000000
1473926400,0.00,20260774,0,152,0,0.01,1.32536000,1.32036000
1473936601,-510.00,20260774,1,152,1,0.01,1.32035000,1.32036000
1474021800,0.00,20261001,0,154,1,0.06,134.64600000,135.23300000
1474041600,0.00,20260774,0,155,1,0.01,1.31309000,1.31809000
1474056000,0.00,20260610,0,156,0,0.01,102.32000000,101.82000000
1474056928,7044.00,20261001,1,154,0,0.06,133.47200000,135.23300000
1474059721,1126.00,20260774,1,155,0,0.01,1.30209000,1.31809000
1474257600,0.00,20260605,0,159,1,0.01,1.11560000,1.11810000
1474279200,0.00,20261001,0,160,0,0.01,133.33400000,132.68600000
1474283132,-499.00,20260610,1,156,1,0.01,101.81900000,101.82000000
1474283700,0.00,20261000,0,162,1,0.01,101.75700000,102.40700000
1474303226,-254.00,20260605,1,159,0,0.01,1.11810000,1.11810000
1474312708,-649.00,20261001,1,160,1,0.01,132.68500000,132.68600000
